site,scan_type,manufacturer,model,headcoil,field_strength,sequence,flip_angle,snr,inversion_time,echo_time,repetition_time,bandwith_per_pixel,bandwith_per_voxel,parallel_aquisition,partial_fourier,number_of_slices,slice_orientation,slice_phase_encoding_direction,slice_acquisition_order,slice_thickness,slice_gap,field_of_view,acquisition_matrix,slice_inplace_resolution,number_of_measurements,acquisition_time,fat_suppression,number_of_directions,number_of_B_zeros,B_values,averages,reconstructed_voxels_dimensions
ABIDE_I-UCLA2,anat,Siemens,MAGNETOM TrioTim syngo MR B15,,,3D TFL,9.0,1.0,853,"2,84",2300,240,,,no,160.0,sagittal,A to P,,"1,2","0,6",256*240,,,1.0,09:14:00,no,,,,,"1,0x1,0x1,2"
ABIDE_I-USM,anat,Siemens,MAGNETOM TrioTim syngo MR B17,,,3D TFL,9.0,1.0,900,"2,91",2300,240,,,no,160.0,sagittal,A to P,,"1,2","0,6",256*240,,,1.0,09:14:00,no,,,,,"1,0x1,0x1,02"
ABIDE_I-Yale,anat,Siemens,MAGNETOM TrioTim syngo MR B17,32Ch,,3D TFL,9.0,1.0,624,"1,73",1230,320,,2,no,176.0,sagittal,A to P,,1,"0,5",250x250,,,1.0,08:34:00,no,,,,,"1,0x1,0x1,0"
ABIDE_II-SU2,anat,GE,SIGNA,,3T,ANAT T1,11.0,,,"1,8","5,9","31,25",,,,132.0,axial,A to P,,1,,240x240,,,,,,,,,,"0,9375x0,9375x1,0"
ABIDE_II-UMIA1,anat,GE,SIGNA,,3T,,12.0,,650,,,25,,,no,,sagittal,S to I,,1,,256*256,,,,,,,,,,
ABIDE_I-Leuven1,anat,Philips,Intera,8Ch,3T,,8.0,,885,"4,6","9,6","135,4",,,,182.0,coronal,R to L,,,,250x250,256x256,,,"06:22,80",no,,,,,"0.98x0.98x1,2"
ABIDE_I-Leuven2,anat,Philips,Intera,8Ch,3T,,8.0,,885,"3,6","9,6","135,4",,,no,182.0,coronal,R to L,,,,250x250,256x256,,,"06:22,80",no,,,,,"0.98x0.98x1,2"
ABIDE_I-SDSU,anat,GE,,8Ch,3T,,8.0,,600,min full,,"31,25",,,no,176.0,sagittal,,,1,,256x256,,,,,,,,,,
ABIDE_I-SBL,anat,Philips,Intera,32Ch,3T,,8.0,,144,"3,5",9,"191,5",,,no,170.0,transversal,A to L,,1,,256x232,256x256,,,"04:11,20",no,,,,,"1,0x1,0x1,0"
ABIDE_I-Trinity,anat,,,8Ch,3T,,8.0,,1060,"3,9","8,5","178,7",,,no,160.0,sagittal,A to P,,,,256x256,256x256,,,"07:29,10",no,,,,,"1,0x1,0x1,0"
ABIDE_II-ONRC2,anat,Siemens,MAGNETOM Skyra syngo MR D13,,,,13.0,,794,"2,88",2200,200,,,no,208.0,transversal,R to L,,"0,8","0,4",256x256,320x320,,,03:25:00,no,,,,,"0,8x0,8x0,8"
ABIDE_I-UM1,anat,GE,SIGNA,,3T,T1 spgr/3D,15.0,,,"1,8",,"15,63",,,,128.0,axial,A to P,,"1,2",,260x260,,,,,,,,,,
ABIDE_I-UM2,anat,GE,SIGNA,,3T,T1 spgr/3D,15.0,,,"1,8",,"15,63",,,,128.0,axial,A to P,,"1,2",,260x260,,,,,,,,,,
ABIDE_II-KKI1,anat,Philips,Achieva,8Ch,3T,MPRAGE,8.0,,843,"3,7",8,"191,5",,,,200.0,coronal,R to L,,1,,256x200,256x256,,,"08:08,30",no,,,,,"1,0x1,0x1,0"
ABIDE_II-KKI1,anat,Philips,Achieva,32Ch,3T,MPRAGE,8.0,,753,"3,7","8,2","192,9",,,,150.0,transversal,R to L,,1,,212x172,212x224,,,"04:25,60",no,,,,,"1,0x1,0x1,0"
ABIDE_I-KKI,anat,Philips,Achieva,8Ch,3T,MPRAGE,8.0,,843,"3,7",8,"191,5",,,,200.0,coronal,R to L,,1,,256x200,256x256,,,"08:08,30",no,,,,,"1,0x1,0x1,0"
